State Name,Year,yield,Avg_Annual_Temperature,Avg_Annual_Rainfall,average_price
Tamil Nadu,1999,1886.0375,24.67,1116.6,9.829413873148084
Tamil Nadu,2000,1876.6175,24.6,1035.4,203.62665521978022
Tamil Nadu,2001,1748.4916666666668,24.73,1105.2,307.19596972271563
Tamil Nadu,2002,1418.375,25.0,981.9,187.87829401840492
Tamil Nadu,2003,1345.0545833333333,24.72,1243.6,184.94695330250462
Tamil Nadu,2004,1538.7741666666668,24.74,1080.5,176.54035590421142
Tamil Nadu,2005,1451.5875,24.58,1208.3,194.15448920484465
Tamil Nadu,2006,1763.4004166666664,25.06,1161.6,238.7763065652203
Tamil Nadu,2007,1599.1804166666668,24.77,1179.3,259.28268439756005
Tamil Nadu,2008,1648.1625000000001,24.61,1118.0,283.79670255183413
Tamil Nadu,2009,1707.8145833333335,25.11,953.7,302.0420379647749
Tamil Nadu,2010,1166.105,25.13,1215.5,253.33105543535876
Tamil Nadu,2011,1384.5133333333333,24.67,1116.3,128.67280691308093
Tamil Nadu,2012,1127.7925,24.69,1054.7,131.0606643085711
Tamil Nadu,2013,1403.2041666666667,24.820000000000004,1092.5,136.6361060792586
Tamil Nadu,2014,1554.4561111111109,24.73,1045.2,148.0098748510449
Tamil Nadu,2015,1331.1663888888888,24.91,1189.2,112.2047103314822
Tamil Nadu,2016,1242.9608333333333,25.149999999999995,1198.8,128.20569612772405
Tamil Nadu,2017,1302.6200000000001,24.790000000000003,1211.0,147.76915776901993
Telangana,1994,1358.0494444444448,24.46,1295.3,6.919554455445544
Telangana,1995,1296.1783333333333,25.29,1242.4,7.03345156555773
Telangana,1996,1380.036111111111,24.55,1182.9,8.187600353243418
Telangana,1997,1162.793888888889,24.1,1183.1,8.944368268434134
Telangana,1998,1419.2027777777778,24.76,1208.8,9.250178760593219
Telangana,1999,1408.4522222222222,24.67,1116.6,9.829413873148084
Telangana,2000,1622.2205555555556,24.6,1035.4,203.62665521978022
Telangana,2001,1613.7494444444444,24.73,1105.2,307.19596972271563
